Date,X,Y,Z,equip1,equip2
1991-07-02,2018.0,,,,
1991-07-03,1889.0,,,,
1991-07-05,1999.0,,,,
1991-07-06,185.0,,,,
1991-07-08,1943.0,,,,
1991-07-10,2168.0,,,,
1991-07-11,2197.0,,,,
1991-08-01,2624.0,,,,
1991-08-02,1998.0,,,,
1991-08-03,1881.0,,,,
1991-08-04,1881.0,,,,
1991-08-05,2014.0,,,,
1991-08-07,1923.0,,,,
1991-08-08,1962.0,,,,
1991-08-10,2174.0,,,,
1991-08-11,2184.0,,,,
1991-09-01,2615.0,,,,
1991-09-04,1881.0,,,,
1991-09-05,2014.0,,,,
1991-09-07,1925.0,,,,
1991-09-08,196.0,,,,
1991-09-09,1984.0,,,,
1991-09-10,221.0,,,,
1991-09-12,1801.0,,,,
1991-10-01,2625.0,,,,
1991-10-04,1941.0,,,,
1991-10-05,196.0,,,,
1991-10-06,1804.0,,,,
1991-10-07,1943.0,,,,
1991-10-09,1995.0,,,,
1991-10-10,2185.0,,,,
1991-10-12,1816.0,,,,
1991-11-01,2567.0,,,,
1991-11-02,2051.0,,,,
1991-11-03,1837.0,,,,
1991-11-04,1955.0,,,,
1991-11-06,1807.0,,,,
1991-11-07,1925.0,,,,
1991-11-09,2016.0,,,,
1991-11-10,2204.0,,,,
1991-11-11,2148.0,,,,
1991-11-12,1823.0,,,,
1991-12-02,2061.0,,,,
1991-12-03,1903.0,,,,
1991-12-04,2002.0,,,,
1991-12-06,1799.0,,,,
1991-12-07,1974.0,,,,
1991-12-08,1962.0,,,,
1991-12-09,2014.0,,,,
1991-12-11,2127.0,,,,
1991-12-12,1858.0,,,,
1992-01-04,184.0,,,,
1992-01-05,197.0,,,,
1992-01-06,2079.0,,,,
1992-01-07,206.0,,,,
1992-01-09,2013.0,,,,
1992-01-10,2045.0,,,,
1992-01-12,1849.0,,,,
1992-02-01,1836.0,,,,
1992-02-03,1722.0,,,,
1992-02-04,1833.0,,,,
1992-02-06,2082.0,,,,
1992-02-07,2075.0,,,,
1992-02-09,2013.0,,,,
1992-02-10,205.0,,,,
1992-02-11,1955.0,,,,
1992-02-12,1834.0,,,,
1992-03-01,1812.0,,,,
1992-03-02,1816.0,,,,
1992-03-03,1743.0,,,,
1992-03-04,1876.0,,,,
1992-03-06,2107.0,,,,
1992-03-07,208.0,,,,
1992-03-08,2021.0,,,,
1992-03-09,2009.0,,,,
1992-03-11,195.0,,,,
1992-03-12,1808.0,,,,
1992-04-02,183.0,,,,
1992-04-03,1742.0,,,,
1992-04-06,2116.0,,,,
1992-04-08,1999.0,,,,
1992-04-09,2019.0,,,,
1992-04-11,1915.0,,,,
1992-04-12,1805.0,,,,
1992-05-02,183.0,,,,
1992-05-03,1741.0,,,,
1992-05-05,1969.0,,,,
1992-05-06,213.0,,,,
1992-05-08,1984.0,,,,
1992-05-10,2036.0,,,,
1992-05-11,1938.0,,,,
1992-06-01,1812.0,,,,
1992-06-02,1841.0,,,,
1992-06-03,1738.0,,,,
1992-06-04,1897.0,,,,
1992-06-05,1964.0,,,,
1992-06-07,2057.0,,,,
1992-06-08,2003.0,,,,
1992-06-10,2035.0,,,,
1992-06-11,1919.0,,,,
1992-07-01,1769.0,,,,
1992-07-02,1886.0,,,,
1992-07-04,1883.0,,,,
1992-07-05,1956.0,,,,
1992-07-07,2004.0,,,,
1992-07-08,1986.0,,,,
1992-07-09,2026.0,,,,
1992-07-10,2045.0,,,,
1992-07-12,1824.0,,,,
1992-08-01,1692.0,,,,
1992-08-04,1918.0,,,,
1992-08-05,197.0,,,,
1992-08-06,2113.0,,,,
1992-08-07,200.0,,,,
1992-08-09,2037.0,,,,
1992-08-10,2055.0,,,,
1992-08-12,1794.0,,,,
1992-09-01,1686.0,,,,
1992-09-03,1744.0,,,,
1992-09-04,1891.0,,,,
1992-09-06,2103.0,,,,
1992-09-07,1998.0,,,,
1992-09-09,204.0,,,,
1992-09-10,209.0,,,,
1992-09-11,195.0,,,,
1992-09-12,1785.0,,,,
1992-10-01,1724.0,,,,
1992-10-02,1879.0,,,,
1992-10-03,1748.0,,,,
1992-10-04,1909.0,,,,
1992-10-06,2118.0,,,,
1992-10-07,1986.0,,,,
1992-10-08,1969.0,,,,
1992-10-09,2038.0,,,,
1992-10-11,1945.0,,,,
1992-10-12,1827.0,,,,
1992-11-02,1838.0,,,,
1992-11-03,1739.0,,,,
1992-11-05,1989.0,,,,
1992-11-06,211.0,,,,
1992-11-08,1959.0,,,,
1992-11-09,2043.0,,,,
1992-11-11,1936.0,,,,
1992-11-12,181.0,,,,
1992-12-02,1826.0,,,,
1992-12-03,1775.0,,,,
1992-12-05,1986.0,,,,
1992-12-06,211.0,,,,
1992-12-08,1972.0,,,,
1992-12-10,2083.0,,,,
1992-12-11,1914.0,,,,
1993-01-02,1857.0,,,,
1993-01-03,1896.0,,,,
1993-01-04,190.0,,,,
1993-01-06,1872.0,,,,
1993-01-07,1714.0,,,,
1993-01-09,1673.0,,,,
1993-01-10,173.0,,,,
1993-01-11,1621.0,,,,
1993-01-12,1455.0,,,,
1993-02-02,1825.0,,,,
1993-02-03,1887.0,,,,
1993-02-04,1911.0,,,,
1993-02-06,1854.0,,,,
1993-02-07,1674.0,,,,
1993-02-08,1679.0,,,,
1993-02-09,1668.0,,,,
1993-02-11,1591.0,,,,
1993-02-12,1395.0,,,,
1993-03-02,1826.0,,,,
1993-03-03,1897.0,,,,
1993-03-06,1831.0,,,,
1993-03-08,1667.0,,,,
1993-03-09,1653.0,,,,
1993-03-11,1622.0,,,,
1993-03-12,1408.0,,,,
1993-04-01,1779.0,,,,
1993-04-02,1856.0,,,,
1993-04-03,1948.0,,,,
1993-04-05,1905.0,,,,
1993-04-06,1831.0,,,,
1993-04-08,1666.0,,,,
1993-04-10,1708.0,,,,
1993-04-11,1613.0,,,,
1993-05-01,1797.0,,,,
1993-05-02,1856.0,,,,
1993-05-03,1937.0,,,,
1993-05-04,1906.0,,,,
1993-05-05,1916.0,,,,
1993-05-07,1693.0,,,,
1993-05-08,1649.0,,,,
1993-05-10,1701.0,,,,
1993-05-11,1586.0,,,,
1993-06-01,1775.0,,,,
1993-06-04,1878.0,,,,
1993-06-05,1916.0,,,,
1993-06-07,1706.0,,,,
1993-06-08,164.0,,,,
1993-06-09,1652.0,,,,
1993-06-10,1707.0,,,,
1993-06-12,1364.0,,,,
1993-07-01,1758.0,,,,
1993-07-04,1886.0,,,,
1993-07-05,1919.0,,,,
1993-07-06,1819.0,,,,
1993-07-07,1691.0,,,,
1993-07-09,1599.0,,,,
1993-07-10,1716.0,,,,
1993-07-12,1356.0,,,,
1993-08-01,1748.0,,,,
1993-08-02,183.0,,,,
1993-08-03,1905.0,,,,
1993-08-04,1877.0,,,,
1993-08-06,1827.0,,,,
1993-08-07,1657.0,,,,
1993-08-09,1602.0,,,,
1993-08-10,1719.0,,,,
1993-08-11,1558.0,,,,
1993-08-12,135.0,,,,
1993-09-02,1829.0,,,,
1993-09-03,1905.0,,,,
1993-09-06,1826.0,,,,
1993-09-07,1665.0,,,,
1993-09-08,1663.0,,,,
1993-09-09,160.0,,,,
1993-09-11,1543.0,,,,
1993-09-12,1365.0,,,,
1993-10-02,1831.0,,,,
1993-10-03,1888.0,,,,
1993-10-05,191.0,,,,
1993-10-06,1796.0,,,,
1993-10-08,1656.0,,,,
1993-10-09,1571.0,,,,
1993-10-11,1532.0,,,,
1993-10-12,1403.0,,,,
1993-11-01,1742.0,,,,
1993-11-02,1839.0,,,,
1993-11-03,1855.0,,,,
1993-11-05,1907.0,,,,
1993-11-06,1766.0,,,,
1993-11-08,1691.0,,,,
1993-11-10,1737.0,,,,
1993-11-11,1563.0,,,,
1993-12-01,1701.0,,,,
1993-12-02,1821.0,,,,
1993-12-03,1889.0,,,,
1993-12-05,1897.0,,,,
1993-12-07,1689.0,,,,
1993-12-08,1702.0,,,,
1993-12-10,1729.0,,,,
1993-12-11,1549.0,,,,
1994-01-02,1472.0,,,,
1994-01-03,1357.0,,,,
1994-01-06,1634.0,,,,
1994-01-07,1757.0,,,,
1994-01-08,189.0,,,,
1994-01-09,1627.0,,,,
1994-01-11,1733.0,,,,
1994-01-12,1687.0,,,,
1994-02-02,1478.0,,,,
1994-02-03,136.0,,,,
1994-02-06,1642.0,,,,
1994-02-08,1851.0,,,,
1994-02-09,1632.0,,,,
1994-02-11,1759.0,,,,
1994-02-12,1619.0,,,,
1994-03-02,1468.0,,,,
1994-03-03,1357.0,,,,
1994-03-05,1554.0,,,,
1994-03-06,1637.0,,,,
1994-03-08,1844.0,,,,
1994-03-10,1696.0,,,,
1994-03-11,1767.0,,,,
1994-04-01,1361.0,,,,
1994-04-02,1441.0,,,,
1994-04-03,1345.0,,,,
1994-04-05,1548.0,,,,
1994-04-07,1747.0,,,,
1994-04-08,1842.0,,,,
1994-04-10,1684.0,,,,
1994-04-11,1774.0,,,,
1994-05-01,1426.0,,,,
1994-05-04,144.0,,,,
1994-05-05,158.0,,,,
1994-05-07,1738.0,,,,
1994-05-08,1786.0,,,,
1994-05-09,1595.0,,,,
1994-05-10,1677.0,,,,
1994-05-12,1614.0,,,,
1994-06-01,1436.0,,,,
1994-06-04,1445.0,,,,
1994-06-05,1628.0,,,,
1994-06-06,1627.0,,,,
1994-06-07,1706.0,,,,
1994-06-09,1633.0,,,,
1994-06-10,1697.0,,,,
1994-06-12,1616.0,,,,
1994-07-01,1423.0,,,,
1994-07-02,141.0,,,,
1994-07-03,1304.0,,,,
1994-07-04,1439.0,,,,
1994-07-06,1594.0,,,,
1994-07-07,1708.0,,,,
1994-07-09,1653.0,,,,
1994-07-10,1693.0,,,,
1994-07-11,1738.0,,,,
1994-07-12,1606.0,,,,
1994-08-02,1404.0,,,,
1994-08-03,1307.0,,,,
1994-08-04,1436.0,,,,
1994-08-06,1624.0,,,,
1994-08-07,1737.0,,,,
1994-08-08,1787.0,,,,
1994-08-09,1633.0,,,,
1994-08-11,1748.0,,,,
1994-08-12,1629.0,,,,
1994-09-02,1347.0,,,,
1994-09-03,132.0,,,,
1994-09-05,1622.0,,,,
1994-09-06,1631.0,,,,
1994-09-08,1785.0,,,,
1994-09-09,1622.0,,,,
1994-09-11,1719.0,,,,
1994-09-12,1626.0,,,,
1994-10-01,1374.0,,,,
1994-10-02,1359.0,,,,
1994-10-03,1319.0,,,,
1994-10-05,1602.0,,,,
1994-10-06,1639.0,,,,
1994-10-08,1767.0,,,,
1994-10-10,1664.0,,,,
1994-10-11,1726.0,,,,
1994-11-01,1383.0,,,,
1994-11-02,1363.0,,,,
1994-11-03,1365.0,,,,
1994-11-04,1465.0,,,,
1994-11-05,1609.0,,,,
1994-11-07,1796.0,,,,
1994-11-08,1749.0,,,,
1994-11-10,1644.0,,,,
1994-11-11,1746.0,,,,
1994-12-01,1352.0,,,,
1994-12-04,1456.0,,,,
1994-12-05,1644.0,,,,
1994-12-07,1826.0,,,,
1994-12-08,1695.0,,,,
1994-12-09,1612.0,,,,
1994-12-10,1584.0,,,,
1994-12-12,1594.0,,,,
1995-01-02,1688.0,,,,
1995-01-03,1661.0,,,,
1995-01-05,1917.0,,,,
1995-01-06,1769.0,,,,
1995-01-08,1615.0,,,,
1995-01-09,1643.0,,,,
1995-01-11,1639.0,,,,
1995-01-12,1725.0,,,,
1995-02-02,1689.0,,,,
1995-02-03,1663.0,,,,
1995-02-05,1867.0,,,,
1995-02-06,1794.0,,,,
1995-02-08,1621.0,,,,
1995-02-10,1623.0,,,,
1995-02-11,1664.0,,,,
1995-03-01,1609.0,,,,
1995-03-02,172.0,,,,
1995-03-03,1687.0,,,,
1995-03-04,1739.0,,,,
1995-03-05,1857.0,,,,
1995-03-07,1627.0,,,,
1995-03-08,1623.0,,,,
1995-03-10,1616.0,,,,
1995-03-11,1663.0,,,,
1995-04-01,1619.0,,,,
1995-04-04,1756.0,,,,
1995-04-05,1892.0,,,,
1995-04-07,1602.0,,,,
1995-04-08,1623.0,,,,
1995-04-09,1661.0,,,,
1995-04-10,1598.0,,,,
1995-04-12,1745.0,,,,
1995-05-01,1646.0,,,,
1995-05-04,1797.0,,,,
1995-05-05,190.0,,,,
1995-05-06,181.0,,,,
1995-05-07,1609.0,,,,
1995-05-09,1685.0,,,,
1995-05-10,1561.0,,,,
1995-05-12,1752.0,,,,
1995-06-01,165.0,,,,
1995-06-02,1722.0,,,,
1995-06-03,1686.0,,,,
1995-06-04,1825.0,,,,
1995-06-06,1789.0,,,,
1995-06-07,162.0,,,,
1995-06-09,1666.0,,,,
1995-06-10,1576.0,,,,
1995-06-11,1647.0,,,,
1995-06-12,1759.0,,,,
1995-07-02,1707.0,,,,
1995-07-03,1694.0,,,,
1995-07-04,1823.0,,,,
1995-07-06,1798.0,,,,
1995-07-07,1605.0,,,,
1995-07-08,1617.0,,,,
1995-07-09,1662.0,,,,
1995-07-11,164.0,,,,
1995-07-12,1757.0,,,,
1995-08-02,1707.0,,,,
1995-08-03,1678.0,,,,
1995-08-06,1776.0,,,,
1995-08-08,1619.0,,,,
1995-08-09,1674.0,,,,
1995-08-11,1662.0,,,,
1995-08-12,1776.0,,,,
1995-09-01,1628.0,,,,
1995-09-02,1711.0,,,,
1995-09-03,1658.0,,,,
1995-09-05,1833.0,,,,
1995-09-06,1769.0,,,,
1995-09-08,1629.0,,,,
1995-09-10,1596.0,,,,
1995-09-11,1665.0,,,,
1995-10-01,1619.0,,,,
1995-10-02,1733.0,,,,
1995-10-03,1646.0,,,,
1995-10-04,1826.0,,,,
1995-10-05,1844.0,,,,
1995-10-07,1611.0,,,,
1995-10-08,1631.0,,,,
1995-10-10,1603.0,,,,
1995-10-11,1658.0,,,,
1995-11-01,1663.0,,,,
1995-11-04,1863.0,,,,
1995-11-05,1831.0,,,,
1995-11-07,1606.0,,,,
1995-11-08,1626.0,,,,
1995-11-09,1674.0,,,,
1995-11-10,1594.0,,,,
1995-11-12,1752.0,,,,
1995-12-01,1663.0,,,,
1995-12-04,189.0,,,,
1995-12-05,1852.0,,,,
1995-12-06,1766.0,,,,
1995-12-07,1623.0,,,,
1995-12-09,1687.0,,,,
1995-12-10,1583.0,,,,
1995-12-12,1743.0,,,,
1996-01-02,1652.0,,,,
1996-01-03,1776.0,,,,
1996-01-04,1974.0,,,,
1996-01-05,188.0,,,,
1996-01-07,1947.0,,,,
1996-01-08,194.0,,,,
1996-01-10,2307.0,,,,
1996-01-11,225.0,,,,
1996-02-01,1862.0,,,,
1996-02-02,1671.0,,,,
1996-02-04,2019.0,,,,
1996-02-05,1879.0,,,,
1996-02-07,1905.0,,,,
1996-02-08,1959.0,,,,
1996-02-09,2199.0,,,,
1996-02-10,231.0,,,,
1996-02-12,2362.0,,,,
1996-03-01,1863.0,,,,
1996-03-04,1998.0,,,,
1996-03-05,1917.0,,,,
1996-03-06,1792.0,,,,
1996-03-07,1931.0,,,,
1996-03-09,2221.0,,,,
1996-03-10,2374.0,,,,
1996-03-12,2377.0,,,,
1996-04-01,1868.0,,,,
1996-04-03,175.0,,,,
1996-04-04,2025.0,,,,
1996-04-06,1855.0,,,,
1996-04-07,1952.0,,,,
1996-04-09,2211.0,,,,
1996-04-10,2385.0,,,,
1996-04-11,2228.0,,,,
1996-04-12,2378.0,,,,
1996-05-01,1905.0,,,,
1996-05-02,1654.0,,,,
1996-05-03,1792.0,,,,
1996-05-06,1786.0,,,,
1996-05-07,1974.0,,,,
1996-05-08,1963.0,,,,
1996-05-09,2216.0,,,,
1996-05-11,2219.0,,,,
1996-05-12,2463.0,,,,
1996-06-02,1661.0,,,,
1996-06-03,1838.0,,,,
1996-06-06,1804.0,,,,
1996-06-08,1962.0,,,,
1996-06-09,2254.0,,,,
